,regio1,serviceCharge,newlyConst,balcony,totalRent,yearConstructed,hasKitchen,cellar,baseRent,livingSpace,typeOfFlat,noRooms,garden,cities,date
45,Berlin,320.0,False,True,1140.0,1985,True,False,820.0,77.0,ground_floor,3,False,Berlin,Feb20
61,Berlin,79.0,False,False,955.0,1918,False,False,808.0,62.63,ground_floor,2,False,Berlin,Oct19
77,Berlin,150.0,True,True,1300.0,2019,True,True,1150.0,46.4,apartment,2,False,Berlin,Oct19
86,Berlin,228.78,False,True,1428.78,2017,True,True,1200.0,67.0,apartment,2,False,Berlin,Oct19
87,Berlin,147.08,True,True,1559.05,2019,True,True,1338.43,73.54,ground_floor,2,False,Berlin,Feb20
126,Berlin,232.0,False,True,1280.0,2014,True,True,1048.0,83.14,apartment,3,False,Berlin,Oct19
142,Berlin,221.11,False,True,656.72,1980,False,False,435.61,62.23,apartment,3,False,Berlin,Oct19
187,Berlin,162.0,False,True,861.0,1984,True,True,699.0,71.2,apartment,3,False,Berlin,Oct19
194,Berlin,67.15,False,False,415.51,1988,False,True,314.78,41.97,apartment,1,False,Berlin,Oct19
200,Berlin,200.0,False,True,2565.0,1910,True,True,2225.0,165.68,roof_storey,4,False,Berlin,Feb20
286,Berlin,215.0,False,True,1125.0,1890,True,False,792.0,88.0,apartment,3,False,Berlin,May19
300,Berlin,450.0,True,True,2830.0,2018,True,True,2380.0,140.0,penthouse,3,False,Berlin,Oct19
383,Berlin,161.65,False,True,1893.09,2017,True,True,1640.6,97.9,apartment,3,False,Berlin,May19
464,Berlin,291.28,False,False,1747.63,1900,True,False,1456.35,97.09,apartment,3,False,Berlin,Feb20
478,Berlin,115.75,False,False,618.21,1927,False,True,502.46,62.75,raised_ground_floor,2,True,Berlin,May19
510,Berlin,55.0,False,False,399.84,1900,False,False,309.84,35.0,apartment,1,False,Berlin,Feb20
522,Berlin,319.74,False,True,2018.38,1985,False,False,1698.64,99.92,maisonette,3,False,Berlin,Feb20
527,Berlin,100.0,False,True,1000.0,1975,True,True,845.0,41.58,apartment,2,False,Berlin,May19
547,Berlin,250.0,False,True,1125.0,1990,True,True,875.0,81.0,apartment,2,True,Berlin,Sep18
556,Berlin,170.0,False,False,1567.7,1910,False,False,1247.7,145.0,ground_floor,4,False,Berlin,Feb20
570,Berlin,151.0,False,False,1399.0,1985,True,False,1189.0,82.0,apartment,3,False,Berlin,May19
